Baseline							RL							buttons											
Reward	tot_passengers	tot_waiting_time	avg_delayed_time	visited_floors	rms_avg_actions		Reward	tot_passengers	tot_waiting_time	avg_delayed_time	visited_floors	rms_avg_actions		Reward	tot_passengers	tot_waiting_time	avg_delayed_time	visited_floors	rms_avg_actions						
251.4335929	29	292.1	3.226347284	424	0.986547882		152.89516	20	383.8	4.285751853	315	0.959090963		51.08169	16	762.2	19.31966964	257	1.049612526						
207.3219503	24	262.6	2.674187385	424	0.974705058		189.51157	22	261	1.915750698	393	1.01281774		146.82414	21	462.9	8.041087999	383	1.166668166						
228.1377481	27	281.5	5.078611804	419	0.983505322		195.19008	26	497.6	5.772283191	358	1.027602406		103.210526	18	596.9	9.383243421	358	1.229024921						
154.9370791	18	206.2	2.468289364	442	0.958817328		93.665634	15	503	3.375281289	366	1.012131181		-24.137972	6	838.4	-0.606665939	535	0.991085532						
205.0588238	24	208.9	5.854656751	426	0.973166454		229.57124	28	459.8	1.530071495	318	1.055945777		2.7060847	10	797.6	17.26392936	581	0.946668244						
218.7816441	25	237.3	2.995342352	415	0.980453319		217.79764	28	492.9	4.610923144	341	1.054552383		-51.409264	3	810.2	-2.042054067	552	0.912526043						
196.3051319	23	244	4.041246996	441	0.969180421		219.74414	25	237	2.600207054	290	1.144562497		140.71072	20	435.4	7.853793721	391	1.092269658						
241.1642052	29	394.9	3.222687867	473	0.961937979		182.95471	23	391.2	3.248622266	331	0.968859134		75.704216	12	414.1	1.882963725	501	1.020633139						
167.2461055	20	228.9	4.931947237	434	0.973807834		137.60913	19	417.1	5.500111305	316	1.16451978		124.38417	17	413.2	2.511636426	402	1.113283981						
265.4456437	31	292.8	4.927211715	407	0.97892375		191.74484	24	391.5	3.652004092	312	0.985432935		176.0564	25	429.9	12.37644344	355	1.263336524						
																									
Reward	passengers	Reward per passengers	avg_waiting_time	avg_delayed_time	visited_floors	rms_avg_actions	reward_per_floor		Reward	passengers	Reward per passengers	avg_waiting_time	avg_delayed_time	visited_floors	rms_avg_actions	reward_per_floor		Reward	passengers	Reward per passengers	avg_waiting_time	avg_delayed_time	visited_floors	rms_avg_actions	reward_per_floor
251.4335929	29	8.670123892	10.07241379	3.226347284	424	0.986547882	0.593003757		152.89516	20	7.644758	19.19	4.285751853	315	0.959090963	0.48538146		51.08169	16	3.192605625	47.6375	19.31966964	257	1.049612526	0.19876144
207.3219503	24	8.638414595	10.94166667	2.674187385	424	0.974705058	0.488966864		189.51157	22	8.614162273	11.86363636	1.915750698	393	1.01281774	0.482217735		146.82414	21	6.991625714	22.04285714	8.041087999	383	1.166668166	0.383352846
228.1377481	27	8.449546227	10.42592593	5.078611804	419	0.983505322	0.544481499		195.19008	26	7.507310769	19.13846154	5.772283191	358	1.027602406	0.545223687		103.210526	18	5.733918111	33.16111111	9.383243421	358	1.229024921	0.288297559
154.9370791	18	8.607615508	11.45555556	2.468289364	442	0.958817328	0.350536378		93.665634	15	6.2443756	33.53333333	3.375281289	366	1.012131181	0.255917033		-24.137972	6	-4.022995333	139.7333333	-0.606665939	535	0.991085532	-0.045117705
205.0588238	24	8.544117658	8.704166667	5.854656751	426	0.973166454	0.481358741		229.57124	28	8.198972857	16.42142857	1.530071495	318	1.055945777	0.721922138		2.7060847	10	0.27060847	79.76	17.26392936	581	0.946668244	0.004657633
218.7816441	25	8.751265765	9.492	2.995342352	415	0.980453319	0.527184685		217.79764	28	7.778487143	17.60357143	4.610923144	341	1.054552383	0.638702757		-51.409264	3	-17.13642133	270.0666667	-2.042054067	552	0.912526043	-0.093132725
196.3051319	23	8.535005735	10.60869565	4.041246996	441	0.969180421	0.445136354		219.74414	25	8.7897656	9.48	2.600207054	290	1.144562497	0.757738414		140.71072	20	7.035536	21.77	7.853793721	391	1.092269658	0.359873964
241.1642052	29	8.316007075	13.61724138	3.222687867	473	0.961937979	0.509860899		182.95471	23	7.954552609	17.00869565	3.248622266	331	0.968859134	0.552733263		75.704216	12	6.308684667	34.50833333	1.882963725	501	1.020633139	0.15110622
167.2461055	20	8.362305276	11.445	4.931947237	434	0.973807834	0.38535969		137.60913	19	7.242585789	21.95263158	5.500111305	316	1.16451978	0.43547193		124.38417	17	7.316715882	24.30588235	2.511636426	402	1.113283981	0.309413358
265.4456437	31	8.5627627	9.44516129	4.927211715	407	0.97892375	0.652200599		191.74484	24	7.989368333	16.3125	3.652004092	312	0.985432935	0.614566795		176.0564	25	7.042256	17.196	12.37644344	355	1.263336524	0.495933521
																									
213.5831925	25	8.543716443	10.62078269	3.942052875	430.5	0.974104535	0.497808947		181.0684144	23	7.796433897	18.25042585	3.649100639	334	1.038551479	0.548987521		74.51307107	14.8	2.27325338	69.01816839	7.598404772	431.5	1.078510874	0.205314611
																									
																									
	Reward	passengers	Reward per passengers	avg_waiting_time	avg_delayed_time	visited_floors	rms_avg_actions	reward_per_floor																	
Baseline	213.58	25	8.544	10.621	3.942	430.5	0.974	0.498																	
RL	181.07	23	7.796	18.250	3.649	334	1.039	0.549																	
RL + PassengerNum	74.51	14.8	2.273	69.018	7.598	431.5	1.079	0.205																	
